reporter_iso3,reporter_name,reference_year,gdp_current_usd,population_total,gdp_growth_annual_pct,trade_pct_of_gdp,has_gdp_data,has_population_data,has_gdp_growth_data,has_trade_pct_gdp_data
ABW,Aruba,2015,2962906704.0,107906,3.611479066,140.4930011,True,True,True,True
ABW,Aruba,2016,2983637430.0,108727,1.234335374,136.8872633,True,True,True,True
ABW,Aruba,2017,3092427933.0,108735,3.493429853,138.7166201,True,True,True,True
ABW,Aruba,2018,3276187709.0,108908,3.212471119,138.8249722,True,True,True,True
ABW,Aruba,2019,3347561739.0,109203,1.229144089,137.9232493,True,True,True,True
ABW,Aruba,2020,2461056053.0,108587,-23.94005927,123.2405037,True,True,True,True
ABW,Aruba,2021,2889305034.0,107700,14.83369198,139.5109026,True,True,True,True
ABW,Aruba,2022,3326671315.0,107310,10.60796076,160.558141,True,True,True,True
ABW,Aruba,2023,3746573413.0,107359,9.516360223,153.7191583,True,True,True,True
ABW,Aruba,2024,4167588070.0,107995,6.810776693,164.1386451,True,True,True,True
AFG,Afghanistan,2015,19134221645.0,33831764,1.451314661,,True,True,True,False
AFG,Afghanistan,2016,18116572395.0,34700612,2.260314203,,True,True,True,False
AFG,Afghanistan,2017,18753456498.0,35688935,2.647003203,,True,True,True,False
AFG,Afghanistan,2018,18053222687.0,36743039,1.189228129,,True,True,True,False
AFG,Afghanistan,2019,18799444490.0,37856121,3.911603416,,True,True,True,False
AFG,Afghanistan,2020,19955929052.0,39068979,-2.351100672,46.70989455,True,True,True,True
AFG,Afghanistan,2021,14259995441.0,40000412,-20.73883937,51.41171637,True,True,True,True
AFG,Afghanistan,2022,14497243872.0,40578842,-6.240171992,72.88546961,True,True,True,True
AFG,Afghanistan,2023,17152234637.0,41454761,2.266943736,66.99957806,True,True,True,True
AFG,Afghanistan,2024,17778508876.0,42647492,1.8731928,83.76302509,True,True,True,True
AGO,Angola,2015,102543000000.0,28157798,0.763177711,54.97938088,True,True,True,True
AGO,Angola,2016,60770049747.0,29183070,-0.233076955,46.32561306,True,True,True,True
AGO,Angola,2017,85629598654.0,30234839,-0.164688657,44.99632532,True,True,True,True
AGO,Angola,2018,90506061877.0,31297155,-0.506697544,58.26989539,True,True,True,True
AGO,Angola,2019,81193813808.0,32375632,-1.055234145,60.37130687,True,True,True,True
AGO,Angola,2020,58512033806.0,33451132,-5.273491283,54.66040307,True,True,True,True
AGO,Angola,2021,78283923544.0,34532429,1.090583699,62.52877053,True,True,True,True
AGO,Angola,2022,128234000000.0,35635029,3.557492067,56.53807223,True,True,True,True
AGO,Angola,2023,106042000000.0,36749906,1.320165871,53.60701265,True,True,True,True
AGO,Angola,2024,103081000000.0,37885849,4.952678604,49.84895067,True,True,True,True
ALB,Albania,2015,11470171827.0,2731293,2.227704075,71.27944766,True,True,True,True
ALB,Albania,2016,11988668785.0,2689469,3.908935514,74.01445045,True,True,True,True
ALB,Albania,2017,13258268436.0,2648285,3.283175933,76.78738179,True,True,True,True
ALB,Albania,2018,15379508330.0,2607733,3.671419281,75.69407837,True,True,True,True
ALB,Albania,2019,15585111614.0,2567801,2.062577902,75.38212893,True,True,True,True
ALB,Albania,2020,15241458745.0,2528480,-3.313756369,59.52069944,True,True,True,True
ALB,Albania,2021,18031989573.0,2489762,8.969576191,75.59040409,True,True,True,True
ALB,Albania,2022,19017247014.0,2451636,4.826800623,84.69804359,True,True,True,True
ALB,Albania,2023,23491242727.0,2411658,4.015417169,82.3524934,True,True,True,True
ALB,Albania,2024,27037474263.0,2377128,4.045928451,79.45463608,True,True,True,True
AND,Andorra,2015,2789881259.0,72174,1.434140395,,True,True,True,False
AND,Andorra,2016,2896610480.0,72181,3.70967807,,True,True,True,False
AND,Andorra,2017,3000162081.0,73763,0.34607189,,True,True,True,False
AND,Andorra,2018,3218419897.0,75162,1.58876549,,True,True,True,False
AND,Andorra,2019,3155149348.0,76474,2.015547638,,True,True,True,False
AND,Andorra,2020,2891001149.0,77380,-11.18393994,,True,True,True,False
AND,Andorra,2021,3324647529.0,78364,8.28677879,,True,True,True,False
AND,Andorra,2022,3380612573.0,79705,9.564612256,,True,True,True,False
AND,Andorra,2023,3785067332.0,80856,2.58355481,,True,True,True,False
AND,Andorra,2024,4044249679.0,81938,3.849160504,,True,True,True,False
ARE,United Arab Emirates,2015,381973000000.0,8505237,7.087666227,164.2861429,True,True,True,True
ARE,United Arab Emirates,2016,381717000000.0,8935095,5.657901472,165.3949662,True,True,True,True
ARE,United Arab Emirates,2017,403365000000.0,9223225,-1.061371145,165.4765237,True,True,True,True
ARE,United Arab Emirates,2018,440560000000.0,9346701,1.53720634,154.7470422,True,True,True,True
ARE,United Arab Emirates,2019,433926000000.0,9445785,1.271291205,163.822149,True,True,True,True
ARE,United Arab Emirates,2020,357162000000.0,9401038,-8.693433638,181.2919402,True,True,True,True
ARE,United Arab Emirates,2021,422441000000.0,9575152,4.552801401,182.9094011,True,True,True,True
ARE,United Arab Emirates,2022,511403000000.0,10074977,7.514524143,185.7416606,True,True,True,True
ARE,United Arab Emirates,2023,522622000000.0,10483751,4.301136485,199.0449501,True,True,True,True
ARE,United Arab Emirates,2024,552325000000.0,10986400,3.991812004,,True,True,True,False
ARG,Argentina,2015,594749000000.0,43477012,2.731159828,22.48622609,True,True,True,True
ARG,Argentina,2016,557532000000.0,43900313,-2.080327844,26.09388785,True,True,True,True
ARG,Argentina,2017,643628000000.0,44288894,2.818502978,25.28960114,True,True,True,True
ARG,Argentina,2018,524820000000.0,44654882,-2.617396463,30.76253595,True,True,True,True
ARG,Argentina,2019,447755000000.0,44973465,-2.000861003,32.63061505,True,True,True,True
ARG,Argentina,2020,385741000000.0,45191965,-9.900484814,30.20369881,True,True,True,True
ARG,Argentina,2021,486564000000.0,45312281,10.44181199,33.07868957,True,True,True,True
ARG,Argentina,2022,633994000000.0,45407904,6.020745375,31.58017926,True,True,True,True
ARG,Argentina,2023,649462000000.0,45538401,-1.85578803,26.67695125,True,True,True,True
ARG,Argentina,2024,638365000000.0,45696159,-1.342930722,27.92976085,True,True,True,True
ARM,Armenia,2015,10553337518.0,3004600,3.199999999,71.68207434,True,True,True,True
ARM,Armenia,2016,10546136236.0,2992300,0.2,76.07796746,True,True,True,True
