reporter_name,reporter_iso,year,gdp_current_usd
Afghanistan,AFG,2024,17778508875.7396
Afghanistan,AFG,2023,17152234636.8715
Afghanistan,AFG,2022,14497243872.1337
Afghanistan,AFG,2021,14259995441.0759
Afghanistan,AFG,2020,19955929052.1496
Afghanistan,AFG,2019,18799444490.1128
Afghanistan,AFG,2018,18053222687.4126
Afghanistan,AFG,2017,18753456497.8159
Afghanistan,AFG,2016,18116572395.0772
Afghanistan,AFG,2015,19134221644.7325
Albania,ALB,2024,27037474263.2977
Albania,ALB,2023,23491242727.4082
Albania,ALB,2022,19017247013.8821
Albania,ALB,2021,18031989573.0294
Albania,ALB,2020,15241458744.5927
Albania,ALB,2019,15585111614.0376
Albania,ALB,2018,15379508329.7568
Albania,ALB,2017,13258268435.6048
Albania,ALB,2016,11988668784.6628
Albania,ALB,2015,11470171826.9575
Algeria,DZA,2024,269322281664.773
Algeria,DZA,2023,247923887214.655
Algeria,DZA,2022,225581644702.568
Algeria,DZA,2021,186231205262.082
Algeria,DZA,2020,164873415325.201
Algeria,DZA,2019,193459662090.677
Algeria,DZA,2018,194554483655.528
Algeria,DZA,2017,189880896903.073
Algeria,DZA,2016,180763839522.151
Algeria,DZA,2015,187493855609.345
American Samoa,ASM,2024,
American Samoa,ASM,2023,
American Samoa,ASM,2022,871000000.0
American Samoa,ASM,2021,750000000.0
American Samoa,ASM,2020,721000000.0
American Samoa,ASM,2019,647000000.0
American Samoa,ASM,2018,639000000.0
American Samoa,ASM,2017,612000000.0
American Samoa,ASM,2016,671000000.0
American Samoa,ASM,2015,673000000.0
Andorra,AND,2024,4044249678.65625
Andorra,AND,2023,3785067331.88242
Andorra,AND,2022,3380612573.4825
Andorra,AND,2021,3324647529.41855
Andorra,AND,2020,2891001149.40079
Andorra,AND,2019,3155149347.92156
Andorra,AND,2018,3218419896.93333
Andorra,AND,2017,3000162081.22353
Andorra,AND,2016,2896610479.86771
Andorra,AND,2015,2789881258.60547
Angola,AGO,2024,103080538044.058
Angola,AGO,2023,106042349567.303
Angola,AGO,2022,128233959333.275
Angola,AGO,2021,78283923543.8237
Angola,AGO,2020,58512033805.8981
Angola,AGO,2019,81193813808.0382
Angola,AGO,2018,90506061877.2765
Angola,AGO,2017,85629598654.1906
Angola,AGO,2016,60770049747.3832
Angola,AGO,2015,102543067840.819
Antigua and Barbuda,ATG,2024,2162366666.66667
Antigua and Barbuda,ATG,2023,2054096296.2963
Antigua and Barbuda,ATG,2022,1857114814.81481
Antigua and Barbuda,ATG,2021,1602125925.92593
Antigua and Barbuda,ATG,2020,1411637037.03704
Antigua and Barbuda,ATG,2019,1726448148.14815
Antigua and Barbuda,ATG,2018,1661529629.62963
Antigua and Barbuda,ATG,2017,1534855555.55556
Antigua and Barbuda,ATG,2016,1489603703.7037
Antigua and Barbuda,ATG,2015,1437485185.18519
Argentina,ARG,2024,638365455340.04
Argentina,ARG,2023,649461687959.174
Argentina,ARG,2022,633993756301.08
Argentina,ARG,2021,486564085480.036
Argentina,ARG,2020,385740508436.965
Argentina,ARG,2019,447754683615.225
Argentina,ARG,2018,524819892360.176
Argentina,ARG,2017,643628393281.364
Argentina,ARG,2016,557532320662.955
Argentina,ARG,2015,594749285413.212
Armenia,ARM,2024,25955275380.0321
Armenia,ARM,2023,24185982215.6543
Armenia,ARM,2022,19513506553.1251
Armenia,ARM,2021,13878908628.9378
Armenia,ARM,2020,12641698583.2152
Armenia,ARM,2019,13619290539.2116
Armenia,ARM,2018,12457940694.7395
Armenia,ARM,2017,11527458709.0158
Armenia,ARM,2016,10546136235.5219
Armenia,ARM,2015,10553337518.414
Aruba,ABW,2024,4167588070.29217
Aruba,ABW,2023,3746573413.07565
Aruba,ABW,2022,3326671314.7742
Aruba,ABW,2021,2889305033.55975
Aruba,ABW,2020,2461056053.22795
Aruba,ABW,2019,3347561738.94591
Aruba,ABW,2018,3276187709.49721
Aruba,ABW,2017,3092427932.96089
Aruba,ABW,2016,2983637430.1676
Aruba,ABW,2015,2962906703.91061
Australia,AUS,2024,1757022451652.83
Australia,AUS,2023,1734451264655.6
Australia,AUS,2022,1695627535475.8
Australia,AUS,2021,1560617493202.69
Australia,AUS,2020,1333336461648.09
Australia,AUS,2019,1398349602956.35
Australia,AUS,2018,1433144978761.67
Australia,AUS,2017,1330890554614.09
Australia,AUS,2016,1211588128417.61
Australia,AUS,2015,1356805839935.9
Austria,AUT,2024,534790720466.822
Austria,AUT,2023,516670509628.876
Austria,AUT,2022,473221298968.216
Austria,AUT,2021,480466363176.806
Austria,AUT,2020,434397601557.696
Austria,AUT,2019,442983642371.842
Austria,AUT,2018,452582294972.775
Austria,AUT,2017,414926138132.691
Austria,AUT,2016,393687359770.273
Austria,AUT,2015,379546097300.633
Azerbaijan,AZE,2024,74426000000.0
Azerbaijan,AZE,2023,72428470588.2353
Azerbaijan,AZE,2022,78807470588.2353
Azerbaijan,AZE,2021,54825411764.7059
Azerbaijan,AZE,2020,42693000000.0
Azerbaijan,AZE,2019,48174235294.1176
Azerbaijan,AZE,2018,47112470051.7701
Azerbaijan,AZE,2017,40866627351.9817
Azerbaijan,AZE,2016,37866996882.9157
Azerbaijan,AZE,2015,53076235354.746
"Bahamas, The",BHS,2024,15832800000.0
"Bahamas, The",BHS,2023,15271300000.0
"Bahamas, The",BHS,2022,13896800000.0
"Bahamas, The",BHS,2021,12037000000.0
"Bahamas, The",BHS,2020,10363200000.0
"Bahamas, The",BHS,2019,13277000000.0
"Bahamas, The",BHS,2018,12819200000.0
"Bahamas, The",BHS,2017,12446900000.0
"Bahamas, The",BHS,2016,11880900000.0
"Bahamas, The",BHS,2015,11837600000.0
Bahrain,BHR,2024,47210732712.766
Bahrain,BHR,2023,46192260638.2979
Bahrain,BHR,2022,46458191489.3617
Bahrain,BHR,2021,40840212765.9574
Bahrain,BHR,2020,35837632978.7234
Bahrain,BHR,2019,40446808510.6383
Bahrain,BHR,2018,39567978723.4043
Bahrain,BHR,2017,37204813829.7872
Bahrain,BHR,2016,33884680851.0638
Bahrain,BHR,2015,32523297872.3404
Bangladesh,BGD,2024,450119432068.852
Bangladesh,BGD,2023,437415333018.291
Bangladesh,BGD,2022,460131689083.083
Bangladesh,BGD,2021,416271647911.014
Bangladesh,BGD,2020,373979442362.193
Bangladesh,BGD,2019,351231654603.692
Bangladesh,BGD,2018,321362752441.78
Bangladesh,BGD,2017,293732446624.596
Bangladesh,BGD,2016,265224515675.034
Bangladesh,BGD,2015,195146608978.131
Barbados,BRB,2024,7597571450.0
Barbados,BRB,2023,7223248150.0
Barbados,BRB,2022,6886644900.0
Barbados,BRB,2021,5948900600.0
Barbados,BRB,2020,5403246950.0
Barbados,BRB,2019,6166710800.0
Barbados,BRB,2018,6001101550.0
Barbados,BRB,2017,5847381600.0
Barbados,BRB,2016,5679029450.0
Barbados,BRB,2015,5699619150.0
Belarus,BLR,2024,78591839299.7087
Belarus,BLR,2023,72478760370.4258
Belarus,BLR,2022,73775179924.603
Belarus,BLR,2021,69673747131.87
Belarus,BLR,2020,61371673344.7424
Belarus,BLR,2019,64410170653.4569
Belarus,BLR,2018,60031026576.26
Belarus,BLR,2017,54725405751.1559
Belarus,BLR,2016,47723545321.259
Belarus,BLR,2015,56454769844.7632
Belgium,BEL,2024,670983130618.828
Belgium,BEL,2023,650779364363.737
Belgium,BEL,2022,591474463578.602
Belgium,BEL,2021,598522422241.851
Belgium,BEL,2020,529694473501.791
Belgium,BEL,2019,536726344405.489
Belgium,BEL,2018,542638913427.921
Belgium,BEL,2017,500908767351.53
Belgium,BEL,2016,474271566739.729
Belgium,BEL,2015,461044767544.531
Belize,BLZ,2024,3203631800.0
Belize,BLZ,2023,3052362650.0
Belize,BLZ,2022,2846604350.0
Belize,BLZ,2021,2428606250.0
Belize,BLZ,2020,2047284600.0
Belize,BLZ,2019,2381187850.0
Belize,BLZ,2018,2285915050.0
Belize,BLZ,2017,2266028250.0
Belize,BLZ,2016,2239604950.0
Belize,BLZ,2015,2193095150.0
Benin,BEN,2024,21482643706.4249
Benin,BEN,2023,19673291004.1444
Benin,BEN,2022,17425405090.862
Benin,BEN,2021,17687623530.3355
Benin,BEN,2020,15686741883.934
