reporter_name,reporter_iso,year,trade_pct_of_gdp
Afghanistan,AFG,2024,83.763025087768
Afghanistan,AFG,2023,66.9995780621951
Afghanistan,AFG,2022,72.8854696086536
Afghanistan,AFG,2021,51.4117163747271
Afghanistan,AFG,2020,46.7098945514103
Afghanistan,AFG,2019,
Afghanistan,AFG,2018,
Afghanistan,AFG,2017,
Afghanistan,AFG,2016,
Afghanistan,AFG,2015,
Albania,ALB,2024,79.4546360752224
Albania,ALB,2023,82.3524933990723
Albania,ALB,2022,84.6980435944865
Albania,ALB,2021,75.5904040905009
Albania,ALB,2020,59.5206994391875
Albania,ALB,2019,75.382128932689
Albania,ALB,2018,75.6940783717425
Albania,ALB,2017,76.7873817898989
Albania,ALB,2016,74.0144504546815
Albania,ALB,2015,71.2794476606014
Algeria,DZA,2024,40.1345741170703
Algeria,DZA,2023,43.7397984507007
Algeria,DZA,2022,51.1900893683897
Algeria,DZA,2021,46.8370592599607
Algeria,DZA,2020,40.3897565625388
Algeria,DZA,2019,46.5068426081672
Algeria,DZA,2018,52.4361676779223
Algeria,DZA,2017,49.8208161712587
Algeria,DZA,2016,49.7609327925216
Algeria,DZA,2015,53.2046225904145
American Samoa,ASM,2024,
American Samoa,ASM,2023,
American Samoa,ASM,2022,124.684270952928
American Samoa,ASM,2021,136.8
American Samoa,ASM,2020,154.368932038835
American Samoa,ASM,2019,156.568778979907
American Samoa,ASM,2018,171.830985915493
American Samoa,ASM,2017,161.437908496732
American Samoa,ASM,2016,159.165424739195
American Samoa,ASM,2015,162.407132243685
Andorra,AND,2024,
Andorra,AND,2023,
Andorra,AND,2022,
Andorra,AND,2021,
Andorra,AND,2020,
Andorra,AND,2019,
Andorra,AND,2018,
Andorra,AND,2017,
Andorra,AND,2016,
Andorra,AND,2015,
Angola,AGO,2024,49.8489506740963
Angola,AGO,2023,53.6070126498686
Angola,AGO,2022,56.5380722280743
Angola,AGO,2021,62.5287705320674
Angola,AGO,2020,54.6604030683749
Angola,AGO,2019,60.3713068739603
Angola,AGO,2018,58.2698953890633
Angola,AGO,2017,44.9963253203189
Angola,AGO,2016,46.3256130571521
Angola,AGO,2015,54.9793808780995
Antigua and Barbuda,ATG,2024,
Antigua and Barbuda,ATG,2023,
Antigua and Barbuda,ATG,2022,118.302584056113
Antigua and Barbuda,ATG,2021,101.074960584779
Antigua and Barbuda,ATG,2020,94.289529886499
Antigua and Barbuda,ATG,2019,137.537783631991
Antigua and Barbuda,ATG,2018,130.655152659419
Antigua and Barbuda,ATG,2017,127.664323582144
Antigua and Barbuda,ATG,2016,132.025917905085
Antigua and Barbuda,ATG,2015,130.071549851721
Argentina,ARG,2024,27.929760849367
Argentina,ARG,2023,26.6769512482215
Argentina,ARG,2022,31.5801792606256
Argentina,ARG,2021,33.078689567466
Argentina,ARG,2020,30.203698807416
Argentina,ARG,2019,32.6306150458499
Argentina,ARG,2018,30.7625359549926
Argentina,ARG,2017,25.2896011376779
Argentina,ARG,2016,26.0938878488799
Argentina,ARG,2015,22.4862260889792
Armenia,ARM,2024,150.064726588742
Armenia,ARM,2023,123.418750077627
Armenia,ARM,2022,103.878629213508
Armenia,ARM,2021,79.2489057647112
Armenia,ARM,2020,70.1213571368789
Armenia,ARM,2019,97.847004865327
Armenia,ARM,2018,92.473107021212
Armenia,ARM,2017,87.202376539837
Armenia,ARM,2016,76.0779674593548
Armenia,ARM,2015,71.6820743427575
Aruba,ABW,2024,164.138645148918
Aruba,ABW,2023,153.719158343959
Aruba,ABW,2022,160.558140997897
Aruba,ABW,2021,139.510902584073
Aruba,ABW,2020,123.24050373078
Aruba,ABW,2019,137.923249273411
Aruba,ABW,2018,138.824972245657
Aruba,ABW,2017,138.716620095236
Aruba,ABW,2016,136.887263320827
Aruba,ABW,2015,140.493001133496
Australia,AUS,2024,47.1453811065195
Australia,AUS,2023,49.044339318428
Australia,AUS,2022,45.6946418805752
Australia,AUS,2021,40.2022359390595
Australia,AUS,2020,44.499564103879
Australia,AUS,2019,46.0016827052171
Australia,AUS,2018,43.5732253645218
Australia,AUS,2017,42.0354135251854
Australia,AUS,2016,40.813402217321
Australia,AUS,2015,41.4947506939901
Austria,AUT,2024,108.825777834405
Austria,AUT,2023,115.152914822732
Austria,AUT,2022,123.579578652902
Austria,AUT,2021,111.032932124165
Austria,AUT,2020,99.9482141095975
Austria,AUT,2019,108.207284904426
Austria,AUT,2018,108.377969971828
Austria,AUT,2017,105.556066755438
Austria,AUT,2016,101.573494597172
Austria,AUT,2015,103.11758174626
Azerbaijan,AZE,2024,82.5675246316515
Azerbaijan,AZE,2023,83.5358861156321
Azerbaijan,AZE,2022,86.9822732541779
Azerbaijan,AZE,2021,76.286865687015
Azerbaijan,AZE,2020,72.0178676487811
Azerbaijan,AZE,2019,85.8181454084561
Azerbaijan,AZE,2018,91.6725765369825
Azerbaijan,AZE,2017,90.4023156823216
Azerbaijan,AZE,2016,90.0773187345677
Azerbaijan,AZE,2015,72.6015079073189
"Bahamas, The",BHS,2024,79.2424586933455
"Bahamas, The",BHS,2023,76.5494751592857
"Bahamas, The",BHS,2022,75.9829601059237
"Bahamas, The",BHS,2021,65.9325413308964
"Bahamas, The",BHS,2020,53.4207580670063
"Bahamas, The",BHS,2019,68.7866234842208
"Bahamas, The",BHS,2018,72.1542685971043
"Bahamas, The",BHS,2017,68.334284038596
"Bahamas, The",BHS,2016,67.212921580015
"Bahamas, The",BHS,2015,69.6779752652565
Bahrain,BHR,2024,157.480869430187
Bahrain,BHR,2023,157.447854682297
Bahrain,BHR,2022,167.141241152535
Bahrain,BHR,2021,153.799316485108
Bahrain,BHR,2020,135.460985012931
Bahrain,BHR,2019,135.417543398211
Bahrain,BHR,2018,144.075372574535
Bahrain,BHR,2017,136.429239810394
Bahrain,BHR,2016,132.822997902774
Bahrain,BHR,2015,147.916060172904
Bangladesh,BGD,2024,26.7780758040478
Bangladesh,BGD,2023,30.9829714104596
Bangladesh,BGD,2022,33.7799672705735
Bangladesh,BGD,2021,27.7240047036631
Bangladesh,BGD,2020,26.271447376215
Bangladesh,BGD,2019,31.5780544912404
Bangladesh,BGD,2018,32.5146317240884
Bangladesh,BGD,2017,29.9997306724343
Bangladesh,BGD,2016,31.3341501346142
Bangladesh,BGD,2015,42.0859963070382
Barbados,BRB,2024,
Barbados,BRB,2023,
Barbados,BRB,2022,
Barbados,BRB,2021,
Barbados,BRB,2020,
Barbados,BRB,2019,
Barbados,BRB,2018,
Barbados,BRB,2017,
Barbados,BRB,2016,
Barbados,BRB,2015,
Belarus,BLR,2024,128.242832314614
Belarus,BLR,2023,131.584674884961
Belarus,BLR,2022,120.024207576094
Belarus,BLR,2021,136.014167877476
Belarus,BLR,2020,118.934176146534
Belarus,BLR,2019,130.850406102184
Belarus,BLR,2018,139.393736250171
Belarus,BLR,2017,133.367754723012
Belarus,BLR,2016,125.209322899662
Belarus,BLR,2015,115.914826201946
Belgium,BEL,2024,159.023481148927
Belgium,BEL,2023,165.987440736442
Belgium,BEL,2022,191.053418131592
Belgium,BEL,2021,177.381912201075
