reporter_iso,reporter_name,year,gdp_current_usd,population_total,gdp_growth_annual_pct,trade_pct_of_gdp
ABW,Aruba,2015,2962906704,107906,3.611479066,140.4930011
ABW,Aruba,2016,2983637430,108727,1.234335374,136.8872633
ABW,Aruba,2017,3092427933,108735,3.493429853,138.7166201
ABW,Aruba,2018,3276187709,108908,3.212471119,138.8249722
ABW,Aruba,2019,3347561739,109203,1.229144089,137.9232493
ABW,Aruba,2020,2461056053,108587,-23.94005927,123.2405037
ABW,Aruba,2021,2889305034,107700,14.83369198,139.5109026
ABW,Aruba,2022,3326671315,107310,10.60796076,160.558141
ABW,Aruba,2023,3746573413,107359,9.516360223,153.7191583
ABW,Aruba,2024,4167588070,107995,6.810776693,164.1386451
AFG,Afghanistan,2015,19134221645,33831764,1.451314661,
AFG,Afghanistan,2016,18116572395,34700612,2.260314203,
AFG,Afghanistan,2017,18753456498,35688935,2.647003203,
AFG,Afghanistan,2018,18053222687,36743039,1.189228129,
AFG,Afghanistan,2019,18799444490,37856121,3.911603416,
AFG,Afghanistan,2020,19955929052,39068979,-2.351100672,46.70989455
AFG,Afghanistan,2021,14259995441,40000412,-20.73883937,51.41171637
AFG,Afghanistan,2022,14497243872,40578842,-6.240171992,72.88546961
AFG,Afghanistan,2023,17152234637,41454761,2.266943736,66.99957806
AFG,Afghanistan,2024,17778508876,42647492,1.8731928,83.76302509
AGO,Angola,2015,1.02543E+11,28157798,0.763177711,54.97938088
AGO,Angola,2016,60770049747,29183070,-0.233076955,46.32561306
AGO,Angola,2017,85629598654,30234839,-0.164688657,44.99632532
AGO,Angola,2018,90506061877,31297155,-0.506697544,58.26989539
AGO,Angola,2019,81193813808,32375632,-1.055234145,60.37130687
AGO,Angola,2020,58512033806,33451132,-5.273491283,54.66040307
AGO,Angola,2021,78283923544,34532429,1.090583699,62.52877053
AGO,Angola,2022,1.28234E+11,35635029,3.557492067,56.53807223
AGO,Angola,2023,1.06042E+11,36749906,1.320165871,53.60701265
AGO,Angola,2024,1.03081E+11,37885849,4.952678604,49.84895067
ALB,Albania,2015,11470171827,2731293,2.227704075,71.27944766
ALB,Albania,2016,11988668785,2689469,3.908935514,74.01445045
